week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
276,48.14285714,45.71428571,44.14285714,44.42857143,39.85714286,45.0,43.0,40.0
277,49.4,43.85714286,46.57142857,44.42857143,40.33333333,46.5,44.5,40.0
278,,23.25,44.25,43.5,,44.33333333,43.0,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,50.57142857,47.66666667,45.66666667,45.5,,46.4,44.8,
283,44.0,42.42857143,43.57142857,43.42857143,,43.66666667,43.0,
284,40.0,39.71428571,40.85714286,41.28571429,,41.0,40.71428571,
285,34.71428571,33.57142857,35.28571429,36.14285714,,35.28571429,35.85714286,
286,36.85714286,35.57142857,36.42857143,36.71428571,,36.0,36.14285714,
287,31.57142857,31.14285714,33.0,33.42857143,,33.0,33.5,
288,39.28571429,38.28571429,34.57142857,34.71428571,,34.57142857,34.42857143,
289,20.28571429,21.42857143,30.14285714,32.28571429,,30.0,32.14285714,
290,11.0,11.0,27.42857143,31.0,,27.42857143,30.71428571,
291,19.0,17.71428571,27.71428571,30.0,,27.57142857,30.0,
292,-2.0,-0.714285714,29.0,30.28571429,,28.85714286,30.28571429,
293,10.42857143,7.428571429,28.71428571,29.71428571,,28.85714286,29.71428571,
294,8.428571429,8.714285714,30.0,31.0,,30.0,31.0,
295,12.42857143,14.28571429,29.14285714,30.14285714,,29.14285714,30.0,
296,16.14285714,15.0,27.85714286,29.71428571,,27.85714286,29.57142857,
297,2.857142857,1.857142857,25.57142857,28.42857143,,25.66666667,28.33333333,
298,-3.571428571,-1.0,23.42857143,26.57142857,,23.14285714,26.57142857,
299,-11.57142857,-13.42857143,19.0,22.71428571,,19.14285714,22.71428571,
300,17.71428571,18.42857143,23.71428571,24.57142857,,24.0,25.0,
301,0.142857143,-0.571428571,23.14285714,25.0,,22.85714286,24.85714286,
302,18.28571429,16.57142857,23.28571429,24.57142857,,23.42857143,24.71428571,
303,14.57142857,15.57142857,24.0,26.0,,24.14285714,26.0,
304,12.42857143,13.28571429,24.71428571,26.0,,24.71428571,26.0,
305,-11.0,-9.714285714,21.57142857,24.0,,21.14285714,23.57142857,
306,-20.57142857,-20.28571429,15.28571429,19.14285714,,14.85714286,18.85714286,
307,13.28571429,9.857142857,15.57142857,17.42857143,,15.85714286,17.57142857,
308,-9.142857143,-10.14285714,16.71428571,19.0,,16.2,18.6,
309,-4.142857143,-6.714285714,15.85714286,17.28571429,,16.28571429,17.57142857,
310,9.428571429,7.428571429,17.85714286,18.57142857,,17.85714286,18.85714286,
311,-4.714285714,-2.571428571,15.0,17.57142857,20.14285714,14.71428571,17.42857143,20.0
312,-1.428571429,-4.0,12.85714286,15.42857143,17.85714286,12.8,15.4,17.8
313,10.28571429,7.428571429,16.14285714,16.57142857,18.28571429,16.42857143,16.85714286,18.42857143
