week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
107,28.42857143,26.82857143,33.14285714,30.71428571,30.71428571,31.0,33.28571429,30.57142857,30.71428571,31.0
108,32.48571429,28.11428571,33.0,30.28571429,31.0,31.0,33.14285714,30.28571429,31.0,31.0
109,40.0,36.85714286,35.0,31.42857143,31.0,31.0,35.0,31.66666667,31.0,31.0
110,45.07142857,42.35714286,35.0,32.0,31.0,31.0,36.71428571,34.57142857,31.0,31.0
111,48.85714286,44.87142857,36.57142857,34.71428571,31.14285714,31.14285714,39.0,38.57142857,31.28571429,31.0
112,48.05714286,46.34285714,38.0,37.71428571,34.14285714,31.0,39.28571429,40.57142857,33.57142857,31.0
113,44.42857143,41.75714286,38.0,37.28571429,35.71428571,31.71428571,38.85714286,40.71428571,35.0,32.0
114,54.94285714,49.71428571,40.42857143,40.42857143,37.85714286,32.28571429,42.71428571,45.14285714,37.42857143,32.28571429
115,56.27142857,53.97142857,44.0,44.42857143,40.42857143,34.57142857,45.0,46.28571429,40.14285714,34.71428571
116,54.18571429,50.37142857,42.57142857,42.42857143,41.14285714,37.0,45.0,46.42857143,41.0,37.28571429
117,58.82857143,55.45714286,47.28571429,47.71428571,46.14285714,40.85714286,49.14285714,52.0,46.0,41.28571429
118,59.77142857,57.71428571,50.0,51.42857143,49.71428571,44.28571429,52.14285714,54.71428571,49.28571429,44.57142857
119,60.92857143,59.12857143,54.14285714,54.14285714,52.85714286,47.71428571,55.57142857,57.42857143,52.42857143,47.71428571
120,61.6,58.7,55.85714286,55.14285714,54.0,49.57142857,57.14285714,57.71428571,53.57142857,49.57142857
121,58.82857143,56.77142857,55.57142857,54.71428571,54.57142857,50.71428571,56.57142857,57.0,54.14285714,50.71428571
122,59.58571429,56.72857143,54.85714286,53.71428571,53.57142857,50.42857143,56.28571429,56.42857143,53.57142857,50.57142857
123,59.55714286,56.71428571,55.14285714,53.28571429,54.0,51.0,56.85714286,56.57142857,53.71428571,50.85714286
124,55.82857143,55.94285714,54.85714286,53.28571429,54.14285714,51.14285714,55.71428571,55.0,53.71428571,51.0
125,47.88571429,45.64285714,50.71428571,47.57142857,50.57142857,49.57142857,51.66666667,50.16666667,50.0,49.33333333
126,50.15714286,47.73333333,50.83333333,48.5,50.33333333,49.0,51.6,49.8,49.8,49.0
127,50.18571429,47.52857143,48.42857143,45.42857143,48.28571429,47.57142857,49.42857143,47.28571429,47.57142857,47.57142857
128,48.34285714,45.8,47.28571429,44.42857143,47.0,46.85714286,48.6,46.8,46.6,46.2
129,49.35714286,47.92857143,46.57142857,43.42857143,45.85714286,45.71428571,47.33333333,44.83333333,45.5,45.66666667
